n_peticion,slug_peticion,modelo,tiempo_segundos,power_before_w,temperature_before_c,power_after_w,temperature_after_c
1,api_SYNO_API_Auth_method_login_version_6_account_admin_passwd_password123,gemma,5,77.04,31,76.77,31
1,api_SYNO_API_Auth_method_login_version_6_account_admin_passwd_password123,llama3,10,76.77,31,76.89,31
1,api_SYNO_API_Auth_method_login_version_6_account_admin_passwd_password123,zephyr,2,76.89,31,76.89,31
2,api_SYNO_FileStation_List_method_list_share_version_2,gemma,5,76.89,31,76.89,31
2,api_SYNO_FileStation_List_method_list_share_version_2,llama3,2,76.89,31,77.02,31
2,api_SYNO_FileStation_List_method_list_share_version_2,zephyr,4,77.02,31,77.26,31
3,api_SYNO_Core_System_method_info_version_1,gemma,4,77.26,31,77.26,31
3,api_SYNO_Core_System_method_info_version_1,llama3,2,77.26,31,77.02,31
3,api_SYNO_Core_System_method_info_version_1,zephyr,3,77.02,31,77.14,31
4,api_SYNO_DownloadStation_Task_method_list_version_1,gemma,4,77.14,31,77.26,31
4,api_SYNO_DownloadStation_Task_method_list_version_1,llama3,25,77.26,31,77.01,31
4,api_SYNO_DownloadStation_Task_method_list_version_1,zephyr,10,77.01,31,77.02,31
5,api_SYNO_FileStation_List_method_list_version_2_folder_path__volume1,gemma,4,77.16,31,77.02,31
5,api_SYNO_FileStation_List_method_list_version_2_folder_path__volume1,llama3,10,77.02,31,76.89,31
5,api_SYNO_FileStation_List_method_list_version_2_folder_path__volume1,zephyr,4,76.89,31,77.02,31
6,api_SYNO_FileStation_Info_method_get_version_2_path__volume1_public,gemma,4,77.02,31,76.77,31
6,api_SYNO_FileStation_Info_method_get_version_2_path__volume1_public,llama3,10,76.77,31,76.89,31
6,api_SYNO_FileStation_Info_method_get_version_2_path__volume1_public,zephyr,2,76.89,31,76.89,31
7,api_SYNO_Core_User_method_get_version_1_user_name_admin,gemma,4,76.89,31,76.89,31
7,api_SYNO_Core_User_method_get_version_1_user_name_admin,llama3,9,76.89,31,77.02,31
7,api_SYNO_Core_User_method_get_version_1_user_name_admin,zephyr,2,77.02,31,77.14,31
8,api_SYNO_Core_User_method_logout_version_1_user_name_admin,gemma,4,77.14,31,77.02,31
8,api_SYNO_Core_User_method_logout_version_1_user_name_admin,llama3,2,77.02,31,77.14,31
8,api_SYNO_Core_User_method_logout_version_1_user_name_admin,zephyr,0,77.14,31,77.26,31
9,api_SYNO_Core_System_Utilization_method_get_version_1,gemma,5,77.26,31,77.02,31
9,api_SYNO_Core_System_Utilization_method_get_version_1,llama3,2,77.14,31,77.14,31
9,api_SYNO_Core_System_Utilization_method_get_version_1,zephyr,4,77.14,31,77.38,31
10,api_SYNO_Core_System_Status_method_network_status_version_1,gemma,4,77.38,31,77.26,31
10,api_SYNO_Core_System_Status_method_network_status_version_1,llama3,10,77.26,31,76.89,31
10,api_SYNO_Core_System_Status_method_network_status_version_1,zephyr,3,76.89,31,77.02,31
11,api_SYNO_API_Auth_method_login_version_6_account_admin_passwd_1234,gemma,4,77.02,31,77.02,31
11,api_SYNO_API_Auth_method_login_version_6_account_admin_passwd_1234,llama3,9,77.02,31,77.02,31
